,Movie Name,Year of Release,Genre,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,Nefes: Vatan Sagolsun,(2009),"Action, Drama, Thriller            ",128 min,8.0,-,"32,413",-,Story of 40-man Turkish task force who must defend a relay station.
1,Anand,(1971),"Drama, Musical            ",122 min,8.3,-,"32,050",-,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
2,English Vinglish,(2012),"Comedy, Drama, Family            ",134 min,7.8,-,"34,387",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
3,Vizontele,(2001),"Comedy, Drama            ",110 min,8.0,-,"34,652",-,Lives of residents in a small Anatolian village change when television is introduced to them
4,Zelig,(1983),Comedy            ,79 min,7.7,-,"40,538",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
5,Udaan,(2010),Drama            ,134 min,8.2,-,"43,305",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
6,Vid himlens utkant,(2007),Drama            ,122 min,7.8,85        ,"31,191",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
7,En mycket speciell middag,(1998),Comedy            ,80 min,7.7,73        ,"38,162",$4.07M,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise."
8,OMG: Oh My God!,(2012),"Comedy, Drama, Fantasy            ",125 min,8.1,-,"53,704",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
9,Chak De! India,(2007),"Drama, Family, Sport            ",153 min,8.2,68        ,"76,038",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
10,Cirkus,(1928),"Comedy, Romance            ",72 min,8.1,90        ,"31,181",-,The Tramp finds work and the girl of his dreams at a circus.
11,Lage Raho Munna Bhai,(2006),"Comedy, Drama, Romance            ",144 min,8.0,-,"44,232",$2.22M,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
12,Vicky Donor,(2012),"Comedy, Romance            ",126 min,7.8,-,"40,719",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
13,Raazi,(2018),"Action, Drama, Thriller            ",138 min,7.8,-,"26,746",-,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
14,Den stora illusionen,(1937),"Drama, War            ",113 min,8.1,-,"34,506",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
15,Knockin' on Heaven's Door,(1997),"Action, Crime, Comedy            ",87 min,7.9,-,"28,360",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
16,Sholay,(1975),"Action, Adventure, Comedy            ",204 min,8.2,-,"52,681",-,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
17,Mupparnas julsaga,(1992),"Comedy, Drama, Family            ",85 min,7.7,64        ,"51,022",$27.28M,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
18,"Fart, flickor och faror",(1924),"Action, Comedy, Romance            ",45 min,8.2,-,"44,105",$0.98M,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
19,Paan Singh Tomar,(2012),"Action, Biography, Crime            ",135 min,8.2,-,"34,301",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
20,Fiendeland,(2005),"Drama, History, Music            ",116 min,7.7,70        ,"28,321",$1.05M,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life."
21,Black,(2005),Drama            ,122 min,8.2,-,"33,833",$0.73M,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world."
22,Nine Queens,(2000),"Crime, Drama, Thriller            ",114 min,7.9,80        ,"50,688",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
23,Kai po che!,(2013),"Drama, Sport            ",130 min,7.8,40        ,"34,231",$1.12M,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
24,Död och pina,(1975),"Comedy, War            ",85 min,7.7,89        ,"36,778",-,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
25,Spelets regler,(1939),"Comedy, Drama            ",110 min,8.0,-,"27,279",-,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
26,Galakväll på operan,(1935),"Comedy, Music, Musical            ",96 min,7.9,-,"31,157",$2.54M,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
27,Hiroshima - min älskade,(1959),"Drama, Romance            ",90 min,7.9,-,"29,402",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
28,Hämnden,(2010),"Drama, Romance            ",118 min,7.6,65        ,"38,959",$1.01M,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait."
29,G.O.R.A.,(2004),"Adventure, Comedy, Sci-Fi            ",127 min,8.0,-,"58,837",-,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
30,Den lilla butiken,(1940),"Comedy, Drama, Romance            ",99 min,8.1,96        ,"29,283",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
